Known 1 ,Known 2,Known 3,Known 4,Known 5,Known 6,Known 7,Known 8,Known 9,Known 10,Unkown 1 ,Unkown 2,Unkown 3,Unkown 4,Unkown 5,Threshold 
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
5,10,10,10,10,10,10,10,10,10,5,0,0,0,0,1
10,5,10,10,10,10,10,10,10,10,0,5,0,0,0,1
10,10,5,10,10,10,10,10,10,10,0,0,5,0,0,1
10,10,10,5,10,10,10,10,10,10,0,0,0,5,0,1
10,10,10,10,5,10,10,10,10,10,0,0,0,0,5,1
5,5,10,10,10,10,10,10,10,10,10,0,0,0,0,1
5,5,5,5,5,5,10,10,10,10,30,0,0,0,0,1
5,5,5,5,5,5,5,5,5,5,50,0,0,0,0,1
10,10,10,10,5,5,5,5,5,5,10,20,0,0,0,1
5,5,5,5,5,5,5,5,5,5,20,30,0,0,0,1
5,5,5,5,5,5,5,5,5,5,40,10,0,0,0,1
5,5,5,5,5,5,5,5,5,5,10,20,20,0,0,1
5,5,5,5,5,5,5,5,5,5,20,10,20,0,0,1
5,5,5,5,5,5,5,5,5,5,20,20,10,0,0,1
5,10,5,10,5,5,5,5,5,5,10,10,10,10,0,1
2,2,2,2,2,2,2,2,2,2,20,20,20,20,0,1
5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,1
3,3,3,3,3,3,3,3,3,3,20,10,10,20,10,1
3,3,3,3,3,3,3,3,3,3,30,10,10,10,10,1
3,3,3,3,3,3,3,3,3,3,10,10,10,10,30,1
10,10,5,5,10,10,5,5,10,5,5,5,5,5,5,1
9,5,5,8,5,5,5,10,10,10,1,12,7,5,3,1
5,5,5,6,5,6,5,6,6,6,5,3,0,7,30,1
4,4,4,4,4,4,4,4,4,4,15,15,10,10,10,1
8,8,8,8,8,8,8,8,8,8,10,10,0,0,0,1
9,8,9,8,9,8,9,8,9,8,10,0,5,0,0,1
9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1
9,9,9,9,9,9,9,9,9,9,10,0,0,0,0,1
9,9,9,9,9,9,9,9,9,9,5,3,2,0,0,1
9,9,9,9,9,9,9,9,9,9,0,10,0,0,0,1
5,10,10,10,10,10,10,10,10,10,0,0,5,0,0,1
5,10,10,10,10,10,10,10,10,10,0,0,0,5,0,1
5,10,10,10,10,10,10,10,10,10,0,0,0,0,5,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
9,9,9,9,9,9,9,9,9,9,5,3,2,0,0,1
9,9,9,9,9,9,9,9,9,9,0,10,0,0,0,1
8,8,8,8,8,8,8,8,8,8,10,10,0,0,0,1
7,7,7,7,7,7,7,7,7,7,10,20,0,0,0,1
7,7,7,7,7,7,7,7,7,7,0,30,0,0,0,1
6,6,6,6,6,6,6,6,6,6,0,10,30,0,0,1
7,7,6,6,5,5,7,7,8,7,5,5,10,10,5,1
5,5,5,5,5,5,5,5,5,5,0,0,20,20,10,1
7,7,6,6,5,5,7,7,8,7,10,5,5,10,5,1
8,7,7,7,7,7,8,8,8,8,10,10,5,0,0,1
8,8,8,8,8,8,8,8,8,8,10,10,0,0,0,1
10,7,10,7,10,7,10,7,10,7,10,5,0,0,0,1
9,9,9,9,9,9,9,9,9,9,5,5,0,0,0,1
10,9,10,9,10,9,10,9,10,9,5,0,0,0,0,1
10,9,10,9,10,9,10,9,10,9,0,5,0,0,0,1
10,9,10,9,10,9,10,9,10,9,0,0,5,0,0,1
10,9,10,9,10,9,10,9,10,9,0,0,0,5,0,1
10,9,10,9,10,9,10,9,10,9,0,0,0,0,5,1
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,1
